date,Close,score,signal,策略总资产,买入持有总资产
2025-08-24,50723.93095574697,-0.3753,Sell,11670.35197245266,12381.910608614005
2025-08-25,49005.987016549516,0.08895,Hold,11670.35197245266,11962.553751111955
2025-08-26,49229.80954209684,0.16524999999999998,Hold,11670.35197245266,12017.189707973008
2025-08-27,50547.5470398413,0.0,Hold,11670.35197245266,12338.8546025358
2025-08-28,50390.48871399936,-0.17,Hold,11670.35197245266,12300.516048833993
2025-08-29,50099.05843312551,0.0,Hold,11670.35197245266,12229.376773576101
2025-08-30,52056.55734402528,0.31245,Buy,11670.35197245266,12707.209939786459
2025-08-31,51939.624012363245,-0.08105000000000001,Hold,11644.137155195558,12678.666054631543
2025-09-01,50890.45956848227,0.0,Hold,11408.929162931374,12422.56089651192
2025-09-02,49851.84339982647,0.0,Hold,11176.085946419966,12169.030613770688
2025-09-03,50581.713712966324,0.0,Hold,11339.712660962277,12347.194821530198
2025-09-04,50034.72802858925,0.6249,Buy,11217.086121938832,12213.673469368883
2025-09-05,51863.15421127966,0.0,Hold,11626.9936954771,12659.999476086961
2025-09-06,52127.165736160365,0.31245,Buy,11686.181386276161,12724.445725404048
2025-09-07,52543.23773437387,-0.28635,Sell,11779.458908125012,12826.010533011755
2025-09-08,51185.49685481463,0.6249,Buy,11779.458908125012,12494.580655957661
2025-09-09,51216.48861574758,0.33525,Buy,11786.591127148607,12502.145866426268
2025-09-10,49777.18216927938,0.0,Hold,11455.359583368512,12150.805514391664
2025-09-11,52082.52725408445,-0.34,Sell,11985.894976480651,12713.549296748895
2025-09-12,52918.21414462454,0.0,Hold,11985.894976480651,12917.543746321136
2025-09-13,53095.795746140095,0.33525,Buy,11985.894976480651,12960.892112156947
2025-09-14,52275.29460336263,0.1779,Hold,11800.674275157458,12760.604563208906
2025-09-15,52674.865033849266,0.31245,Buy,11890.87368074539,12858.141273375302
2025-09-16,51339.59387269839,0.31245,Buy,11589.448310284843,12532.19634276544
2025-09-17,50743.499541947676,-0.34,Sell,11454.88541422027,12386.687377301068
2025-09-18,51535.56318359873,-0.17,Hold,11454.88541422027,12580.033220623282
2025-09-19,52254.715349914804,-0.17,Hold,11454.88541422027,12755.581086680533
2025-09-20,49855.237983098166,0.6249,Buy,11454.88541422027,12169.8592448691
2025-09-21,50055.18756339933,0.6249,Buy,11500.82641507855,12218.667722107957
2025-09-22,50398.03538359235,0.31245,Buy,11579.600133823162,12302.35822049799
2025-09-23,49931.38803141534,0.31245,Buy,11472.381872226475,12188.447770508556
2025-09-24,49742.54923409422,0.08895,Hold,11428.993717388945,12142.351478998575
2025-09-25,48478.41721067773,0.08895,Hold,11138.543043347603,11833.771891089962
2025-09-26,48233.97528897582,-0.17,Hold,11082.379351892023,11774.102658708278
2025-09-27,47331.993419538514,0.16524999999999998,Hold,10875.137357307396,11553.925344617484
2025-09-28,48695.034897830345,0.0,Hold,11188.313757226611,11886.64911862401
2025-09-29,49022.78310708175,-0.08105000000000001,Hold,11263.618145162007,11966.653742725888
2025-09-30,50361.76856943923,-0.17,Hold,11571.267364443871,12293.505348836783
2025-10-01,49251.69889337911,0.0,Hold,11316.214506299253,12022.532984524149
2025-10-02,50495.70908836135,0.08895,Hold,11602.04193013934,12326.200755145335
2025-10-03,51125.322441272314,0.08895,Hold,11746.703737095375,12479.891845461947
2025-10-04,50267.716503453674,-0.34,Sell,11549.657686455763,12270.54687042933
2025-10-05,46996.967412601356,0.0,Hold,11549.657686455763,11472.144181539334
2025-10-06,46820.93363349688,0.08895,Hold,11549.657686455763,11429.173645228382
2025-10-07,47753.52626090074,0.6705,Buy,11549.657686455763,11656.82316546847
2025-10-08,45221.32645494065,0.6249,Buy,10937.22038093065,11038.703255402721
2025-10-09,46874.27021120454,0.0,Hold,11337.001005622305,11442.193313162277
2025-10-10,47735.51614669712,-0.7506,Sell,11545.301764071952,11652.426825912004
2025-10-11,48873.96052839507,0.1779,Hold,11545.301764071952,11930.325567225265
2025-10-12,50021.834703996625,0.0,Hold,11545.301764071952,12210.526158236926
2025-10-13,52185.89184358562,0.31245,Buy,11545.301764071952,12738.780998692819
2025-10-14,49992.919785610364,0.4014,Buy,11060.141440561754,12203.46791318438
2025-10-15,49053.392905790075,-0.7506,Sell,10852.286003780224,11974.125714716483
2025-10-16,49562.089543427785,0.6249,Buy,10852.286003780224,12098.300560306185
2025-10-17,50494.208322072765,-0.17,Hold,11056.385945258398,12325.834412204646
2025-10-18,51513.44692776342,0.31245,Buy,11279.561944433275,12574.634555780272
2025-10-19,51130.01768962043,0.6705,Buy,11195.604956483983,12481.037974009876
2025-10-20,51637.65367206391,0.6249,Buy,11306.758681398254,12604.953909504206
2025-10-21,53756.44764849135,-0.34,Sell,11770.697115534076,13122.159834200425
2025-10-22,53670.12540174525,0.6249,Buy,11770.697115534076,13101.08823500443
2025-10-23,52572.588624085234,0.31245,Buy,11529.990150788,12833.175200375694
2025-10-24,53798.13573166092,0.0,Hold,11798.771781091835,13132.336058903918
2025-10-25,53557.351725391636,-0.7506,Sell,11745.964086180646,13073.559738034559
2025-10-26,56162.55808826289,0.33525,Buy,11745.964086180646,13709.500835151157
2025-10-27,56263.406471545364,-0.34,Sell,11767.055744547128,13734.11832128243
2025-10-28,53105.054229714486,-0.3753,Sell,11767.055744547128,12963.15214433169
2025-10-29,52172.90511644236,-0.17,Hold,11767.055744547128,12735.610887631698
2025-10-30,51696.66848007507,0.0,Hold,11767.055744547128,12619.359655738981
2025-10-31,52296.19902336693,0.6705,Buy,11767.055744547128,12765.707414169807
2025-11-01,53290.110185687176,0.0,Hold,11990.693566617605,13008.325029423038
2025-11-02,55297.461185202264,0.08895,Hold,12442.36331606942,13498.327286105232
2025-11-03,52102.28860729175,0.6705,Buy,11723.424377105197,12718.373120618768
2025-11-04,53187.02232868877,0.0,Hold,11967.497988687666,12983.160878969056
2025-11-05,53246.1926566612,0.31245,Buy,11980.811777465386,12997.604588236703
2025-11-06,54814.14474249269,-0.34,Sell,12333.61331836732,13380.347845700186
2025-11-07,54650.01120371278,0.0,Hold,12333.61331836732,13340.282204754072
2025-11-08,55492.54233338327,0.0,Hold,12333.61331836732,13545.947359957758
2025-11-09,56030.15753576932,0.0,Hold,12333.61331836732,13677.181340691299
2025-11-10,57335.15572056531,0.0,Hold,12333.61331836732,13995.736518968875
2025-11-11,58795.65871544621,0.6705,Buy,12333.61331836732,14352.251031655307
2025-11-12,58143.49522241946,0.0,Hold,12196.80845013247,14193.055363640073
2025-11-13,58556.47446155062,0.6705,Buy,12283.439442202965,14293.865216618477
2025-11-14,57901.46987997014,0.0,Hold,12146.038596503275,14133.976027737635
2025-11-15,60650.32141957609,0.0,Hold,12722.667427607632,14804.981476220048
2025-11-16,59353.350310623406,0.0,Hold,12450.60073948132,14488.385738657487
2025-11-17,56644.30338862173,-0.34,Sell,11882.321755500754,13827.096753542557
2025-11-18,57590.18995280767,0.0,Hold,11882.321755500754,14057.99137592222
2025-11-19,59943.792185356026,-0.5453,Sell,11882.321755500754,14632.514917425195
2025-11-20,58300.05513427515,0.0,Hold,11882.321755500754,14231.272252531846
2025-11-21,59740.82134286818,0.0,Hold,11882.321755500754,14582.96893822985
2025-11-22,59481.831434241765,-0.34,Sell,11882.321755500754,14519.748485147396
2025-11-23,59516.46300140831,0.0,Hold,11882.321755500754,14528.202186601775
2025-11-24,60103.94842688178,0.0,Hold,11882.321755500754,14671.609684502959
2025-11-25,61098.04647384164,0.6705,Buy,11882.321755500754,14914.272919030136
2025-11-26,61656.591242190916,0.31245,Buy,11990.947301412752,15050.615888951836
2025-11-27,59123.03149028636,-0.17,Hold,11498.221692390123,14432.164010744034
2025-11-28,59112.20971120101,0.6249,Buy,11496.117077455927,14429.522372000029
2025-11-29,58119.34180918189,0.0,Hold,11303.02455562626,14187.159420680498
2025-11-30,57310.6633972469,-0.08105000000000001,Hold,11145.75312647422,13989.75784672854
2025-12-01,58821.334418241895,0.08895,Hold,11439.547775798377,14358.518571470131
2025-12-02,60493.82990763761,0.0,Hold,11764.81397801864,14766.781284016499
2025-12-03,62471.1999922983,0.0,Hold,12149.372060177608,15249.46508172485
2025-12-04,62373.72984628841,0.1779,Hold,12130.416108174444,15225.672236569453
2025-12-05,65000.464152351626,0.0,Hold,12641.262264347672,15866.868389104031
2025-12-06,66367.48766026416,0.0,Hold,12907.120407214881,16200.56419216815
2025-12-07,64505.880472619894,0.0,Hold,12545.075843393803,15746.138571924437
2025-12-08,64431.89186641792,0.0,Hold,12530.686571135984,15728.077662787722
2025-12-09,67045.06605102938,0.0,Hold,13038.89556073135,16365.963736460231
2025-12-10,65918.79696163983,0.31245,Buy,12819.859233454812,16091.037031780486
2025-12-11,65058.328304374016,-0.34,Sell,12652.515659703506,15880.993255696283
2025-12-12,66649.79051215769,0.0,Hold,12652.515659703506,16269.47542619203
2025-12-13,70023.17265766824,0.0,Hold,12652.515659703506,17092.931246499935
2025-12-14,67886.13278695526,0.0,Hold,12652.515659703506,16571.27142740395
2025-12-15,70407.94243071754,-0.3753,Sell,12652.515659703506,17186.855058101788
2025-12-16,69022.93774526597,0.0,Hold,12652.515659703506,16848.76997903459
2025-12-17,70596.76475357909,-0.17,Hold,12652.515659703506,17232.947328131537
2025-12-18,67386.07726986476,-0.17,Hold,12652.515659703506,16449.20591325126
2025-12-19,65509.16543500355,-0.34,Sell,12652.515659703506,15991.044368559935
2025-12-20,64305.478599302696,0.08895,Hold,12652.515659703506,15697.219688185378
2025-12-21,61460.478829040425,0.0,Hold,12652.515659703506,15002.744079273136
2025-12-22,57406.449561716836,-0.34,Sell,12652.515659703506,14013.139625381371
2025-12-23,59184.56021430336,-0.17,Hold,12652.515659703506,14447.183413741512
2025-12-24,61292.400199226795,0.1779,Hold,12652.515659703506,14961.715426123475
2025-12-25,61572.67569655331,-0.34,Sell,12652.515659703506,15030.131774941343
2025-12-26,59526.0023326839,0.08895,Hold,12652.515659703506,14530.530774802546
2025-12-27,61291.32601405436,0.0,Hold,12652.515659703506,14961.453213307323
2025-12-28,62153.330431083785,0.6705,Buy,12652.515659703506,15171.871874376799
2025-12-29,59627.529744592626,0.4242,Buy,12138.339950735597,14555.314014486286
2025-12-30,59225.83804532721,0.0,Hold,12056.567815918717,14457.259494286229
2025-12-31,59741.1350206591,0.0,Hold,12161.466507663223,14583.04550820962
2026-01-01,58709.08630004492,-0.34,Sell,11951.37297754054,14331.118365308808
2026-01-02,59864.60481267729,0.0,Hold,11951.37297754054,14613.184968989326
2026-01-03,62421.732710464166,0.6705,Buy,11951.37297754054,15237.389924098448
2026-01-04,63304.97476192323,0.0,Hold,12120.480029332868,15452.992775077722
2026-01-05,63186.834965477516,-0.06285000000000002,Hold,12097.860779441768,15424.15438713443
2026-01-06,64573.44388460658,-0.3753,Sell,12363.34332289122,15762.631065938003
2026-01-07,63144.85861183617,0.0,Hold,12363.34332289122,15413.907794477482
2026-01-08,65144.333818113155,0.0,Hold,12363.34332289122,15901.987539122285
2026-01-09,66724.80212136943,-0.17,Hold,12363.34332289122,16287.786054378128
2026-01-10,67310.59446598408,0.1779,Hold,12363.34332289122,16430.780264597302
2026-01-11,67591.01876861394,0.16524999999999998,Hold,12363.34332289122,16499.23293737369
2026-01-12,66877.25842936848,-0.3753,Sell,12363.34332289122,16325.001237464203
2026-01-13,68047.78520866267,0.0,Hold,12363.34332289122,16610.7314179357
2026-01-14,67730.10181584196,-0.34,Sell,12363.34332289122,16533.183655023186
2026-01-15,66859.10117614293,0.16524999999999998,Hold,12363.34332289122,16320.568980695049
2026-01-16,66423.8462174942,0.0,Hold,12363.34332289122,16214.321537162994
2026-01-17,62608.97161655466,0.31245,Buy,12363.34332289122,15283.095675880379
2026-01-18,62158.96842124062,0.0,Hold,12274.481553460806,15173.248129899957
2026-01-19,59602.10220565838,-0.34,Sell,11769.579236145211,14549.107052443942
2026-01-20,60008.190425782814,0.08895,Hold,11769.579236145211,14648.234780639506
2026-01-21,61957.99864265646,0.0,Hold,11769.579236145211,15124.190618256529
2026-01-22,60721.20881523798,-0.34,Sell,11769.579236145211,14822.285367693457
2026-01-23,59501.63522881769,-0.34,Sell,11769.579236145211,14524.582669121908
2026-01-24,60236.43701329689,0.31245,Buy,11769.579236145211,14703.950668388548
2026-01-25,59594.50540598145,-0.34,Sell,11644.152413260297,14547.252643829725
2026-01-26,59981.37382083112,-0.34,Sell,11644.152413260297,14641.688742131015
2026-01-27,58910.658049756035,-0.34,Sell,11644.152413260297,14380.32282046672
2026-01-28,59879.83235154952,0.0,Hold,11644.152413260297,14616.90207098739
2026-01-29,60188.75730970934,0.0,Hold,11644.152413260297,14692.311865627356
2026-01-30,60408.2260481542,-0.5453,Sell,11644.152413260297,14745.88504597058
2026-01-31,60484.27888279007,0.08895,Hold,11644.152413260297,14764.449841368923
2026-02-01,63136.557936376696,0.0,Hold,11644.152413260297,15411.881567022436
2026-02-02,63280.125963089056,-0.17,Hold,11644.152413260297,15446.927085765028
2026-02-03,63745.76094488416,0.0,Hold,11644.152413260297,15560.590412171267
2026-02-04,62358.12941797322,0.1779,Hold,11644.152413260297,15221.86411079499
2026-02-05,64123.81486859347,-0.7506,Sell,11644.152413260297,15652.874858593377
2026-02-06,65163.29550858015,0.33525,Buy,11644.152413260297,15906.61616217903
2026-02-07,60910.75344674608,-0.34,Sell,10884.25763621858,14868.553956098474
2026-02-08,61421.93972031349,0.0,Hold,10884.25763621858,14993.336531589008
2026-02-09,61816.6609032222,0.0,Hold,10884.25763621858,15089.68952139112
2026-02-10,61329.991735923584,0.31245,Buy,10884.25763621858,14970.891667756368
2026-02-11,59428.94409525082,-0.34,Sell,10546.877967411483,14506.838478147258
2026-02-12,60259.875971265436,0.08895,Hold,10546.877967411483,14709.672210013126
2026-02-13,59147.29687055889,-0.17,Hold,10546.877967411483,14438.08728529625
2026-02-14,57735.316754465275,0.1779,Hold,10546.877967411483,14093.417397746243
2026-02-15,58152.395275437244,0.0,Hold,10546.877967411483,14195.227901509315
2026-02-16,58697.215485314344,0.08895,Hold,10546.877967411483,14328.220652846941
2026-02-17,56851.12704714997,0.6705,Buy,10546.877967411483,13877.583220253453
2026-02-18,57002.291482637214,-0.34,Sell,10574.921612927506,13914.48305218954
2026-02-19,57309.899051495784,0.08895,Hold,10574.921612927506,13989.571266931074
2026-02-20,55813.13815394591,0.4242,Buy,10574.921612927506,13624.206057911688
2026-02-21,54429.5381197398,0.6705,Buy,10312.770757603508,13286.463859725955
2026-02-22,55896.73850102788,0.0,Hold,10590.761380165946,13644.613230717778
2026-02-23,55631.40849297857,0.0,Hold,10540.489273463403,13579.845134484944
2026-02-24,56999.24732507399,-0.34,Sell,10799.653852036823,13913.739961381787
2026-02-25,58933.50051891085,-0.34,Sell,10799.653852036823,14385.89875683099
2026-02-26,61142.307467494575,0.33525,Buy,10799.653852036823,14925.077201279813
2026-02-27,60825.37541159111,-0.3753,Sell,10743.6736864176,14847.71284265736
2026-02-28,61317.70475610476,0.0,Hold,10743.6736864176,14967.892367763248
2026-03-01,60491.4321323291,0.0,Hold,10743.6736864176,14766.195977653799
2026-03-02,57101.061410597584,0.31245,Buy,10743.6736864176,13938.593179219944
2026-03-03,57251.0969153756,0.0,Hold,10771.90315299653,13975.217434739503
2026-03-04,57468.07931147488,0.6705,Buy,10812.728804951137,14028.183689158705
2026-03-05,55983.27663983252,-0.7506,Sell,10533.360348415126,13665.737530012515
2026-03-06,56555.478837264054,-0.3753,Sell,10533.360348415126,13805.414331970765
2026-03-07,54952.606415424816,0.0,Hold,10533.360348415126,13414.146883445514
2026-03-08,52487.50360724094,0.33525,Buy,10533.360348415126,12812.405613854145
2026-03-09,51237.93870415376,0.14245,Hold,10282.593661139606,12507.381917185505
2026-03-10,55518.038571781806,0.1779,Hold,11141.537812309154,13552.171091808941
2026-03-11,55477.298468019864,0.33525,Buy,11133.36195779019,13542.226272599126
2026-03-12,55622.02825423719,0.0,Hold,11162.4067948772,13577.55538139612
2026-03-13,56272.79032093246,0.0,Hold,11293.00381089979,13736.408955744044
2026-03-14,57321.093200563824,0.0,Hold,11503.380590638943,13992.303802649192
2026-03-15,55145.179389154364,0.0,Hold,11066.711237221507,13461.154702071291
2026-03-16,57254.953047232084,0.0,Hold,11490.107372812547,13976.158731658774
2026-03-17,56763.35939500548,-0.7506,Sell,11391.452784043307,13856.158791927322
2026-03-18,54952.42699198576,0.0,Hold,11391.452784043307,13414.103085479906
2026-03-19,56404.603795332914,-0.17,Hold,11391.452784043307,13768.585142137428
2026-03-20,54096.8383621754,0.08895,Hold,11391.452784043307,13205.250543248887
2026-03-21,53389.62665272296,0.31245,Buy,11391.452784043307,13032.61738957149
2026-03-22,54337.61916920068,-0.34,Sell,11593.720765075006,13264.026083170233
2026-03-23,52888.80941409607,-0.08105000000000001,Hold,11593.720765075006,12910.365936202446
2026-03-24,52216.7822948407,-0.17,Hold,11593.720765075006,12746.321479071476
2026-03-25,52547.39092015444,-0.3753,Sell,11593.720765075006,12827.02434195966
2026-03-26,49412.82978910547,0.6249,Buy,11593.720765075006,12061.86566851724
2026-03-27,48058.76988335804,0.0,Hold,11276.018004204576,11731.334331616321
2026-03-28,48105.70729099044,-0.17,Hold,11287.03091724455,11742.791937021773
2026-03-29,50219.94390252468,0.33525,Buy,11783.093761854814,12258.885391062524
2026-03-30,51158.82226637386,-0.17,Hold,12003.38257407819,12488.06928423682
2026-03-31,50182.896891197466,0.0,Hold,11774.401430200434,12249.842070209294
2026-04-01,48224.35315777995,-0.7506,Sell,11314.868769384548,11771.753858722024
2026-04-02,47684.97022238399,0.08895,Hold,11314.868769384548,11640.088367423426
2026-04-03,48892.21571584538,0.08895,Hold,11314.868769384548,11934.781730123019
2026-04-04,48719.63252998473,0.0,Hold,11314.868769384548,11892.653497164483
2026-04-05,49302.09508783155,0.6249,Buy,11314.868769384548,12034.83489336613
2026-04-06,48882.63771350169,0.6705,Buy,11218.602979128822,11932.443702162762
2026-04-07,48774.97357666546,0.6705,Buy,11193.893976858215,11906.162463841096
2026-04-08,49961.676968075946,0.6249,Buy,11466.243318566156,12195.841418814101
2026-04-09,48880.7435710084,0.08895,Hold,11218.168271968734,11931.981334546728
2026-04-10,48495.07567932667,-0.34,Sell,11129.657193987769,11837.838288662097
2026-04-11,47458.20232573029,0.4014,Buy,11129.657193987769,11584.733433916417
2026-04-12,44699.82445218267,0.0,Hold,10482.776388571725,10911.40256993345
2026-04-13,44837.72927447155,0.0,Hold,10515.11712889178,10945.065678251443
2026-04-14,43783.16959329665,-0.7506,Sell,10267.80713468843,10687.643521535161
2026-04-15,43754.31989136138,0.0,Hold,10267.80713468843,10680.601196074242
2026-04-16,43421.34705966395,0.0,Hold,10267.80713468843,10599.321221129643
2026-04-17,44484.437348712556,0.0,Hold,10267.80713468843,10858.825732705634
2026-04-18,44999.042515440924,-0.17,Hold,10267.80713468843,10984.442873433953
2026-04-19,45712.469098796,-0.34,Sell,10267.80713468843,11158.593102220799
2026-04-20,47152.64610038009,-0.17,Hold,10267.80713468843,11510.14596017562
2026-04-21,46452.476939361215,-0.7506,Sell,10267.80713468843,11339.231920208817
2026-04-22,47970.58634939179,0.16524999999999998,Hold,10267.80713468843,11709.808384905402
2026-04-23,47884.30296416681,0.0,Hold,10267.80713468843,11688.746271959219
2026-04-24,48523.86789831248,-0.5453,Sell,10267.80713468843,11844.866582309465
2026-04-25,48388.84445722695,-0.34,Sell,10267.80713468843,11811.906830450978
2026-04-26,49390.43097952166,0.0,Hold,10267.80713468843,12056.39803119536
2026-04-27,51311.141239119264,0.0,Hold,10267.80713468843,12525.250943248519
2026-04-28,51235.61775380867,0.0,Hold,10267.80713468843,12506.815364097869
2026-04-29,51453.62291371763,0.0,Hold,10267.80713468843,12560.031279176776
2026-04-30,53639.22635125508,0.08895,Hold,10267.80713468843,13093.54565551874
2026-05-01,53187.380267048466,0.33525,Buy,10267.80713468843,12983.24825312736
2026-05-02,52279.392328921625,0.0,Hold,10092.52034706137,12761.604834099078
2026-05-03,53019.2859528187,0.0,Hold,10235.356579871044,12942.215771350167
2026-05-04,53331.86736859234,0.08895,Hold,10295.700324476193,13018.518121643167
2026-05-05,52778.496545328904,-0.7506,Sell,10188.872260023601,12883.438132021685
2026-05-06,51941.17172884364,0.0,Hold,10188.872260023601,12679.043858298308
2026-05-07,54892.54356948254,0.0,Hold,10188.872260023601,13399.485307038807
2026-05-08,55292.20414239138,0.33525,Buy,10188.872260023601,13497.04402132422
2026-05-09,56908.26602037613,0.0,Hold,10486.669179037297,13891.531067855636
2026-05-10,58273.81314313621,0.0,Hold,10738.302938527419,14224.866479510078
2026-05-11,59911.178403758335,0.0,Hold,11040.025500364822,14624.553765346825
2026-05-12,60366.24065335804,0.6705,Buy,11123.88128443865,14735.636246332262
2026-05-13,56807.15756914716,-0.34,Sell,10468.037599595684,13866.850098118002
2026-05-14,57348.98623061587,0.0,Hold,10468.037599595684,13999.112600749031
2026-05-15,59818.832164265325,0.6249,Buy,10468.037599595684,14602.011685880592
2026-05-16,61634.998061803104,-0.17,Hold,10785.858797614428,15045.34490887833
2026-05-17,64744.668209134376,-0.34,Sell,11330.037659803082,15804.427595512438
2026-05-18,62864.853881300034,-0.17,Hold,11330.037659803082,15345.55754089575
2026-05-19,62259.6953547886,-0.17,Hold,11330.037659803082,15197.835969674423
2026-05-20,63625.507809521565,0.0,Hold,11330.037659803082,15531.23614990472
2026-05-21,65065.8577206416,0.1779,Hold,11330.037659803082,15882.831215755838
2026-05-22,62811.0788916183,-0.17,Hold,11330.037659803082,15332.430854878468
2026-05-23,64338.598952979584,-0.34,Sell,11330.037659803082,15705.304496496285
2026-05-24,65484.44663230168,0.31245,Buy,11330.037659803082,15985.010411813295
2026-05-25,67880.19729343022,0.31245,Buy,11744.54746495573,16569.82255014108
2026-05-26,69065.72092024723,0.0,Hold,11949.66529108389,16859.213519946923
2026-05-27,66882.27723219452,0.0,Hold,11571.888574841567,16326.226346929961
2026-05-28,65374.30418768696,0.6705,Buy,11310.980950773614,15958.124208836962
2026-05-29,65700.31753221204,0.4242,Buy,11367.387374909837,16037.705345650795
2026-05-30,65158.04370086798,0.08895,Hold,11273.563829823586,15905.33417530616
2026-05-31,64332.60492070204,0.31245,Buy,11130.747436830981,15703.8413296942
2026-06-01,64448.44017384945,0.0,Hold,11150.789108525365,15732.117169574367
2026-06-02,66228.92196095716,0.0,Hold,11458.845856928476,16166.739761176472
2026-06-03,69756.84982370722,0.31245,Buy,12069.243555949573,17027.92079756578
2026-06-04,67184.34440340627,0.08895,Hold,11624.151861799406,16399.962128863026
2026-06-05,66961.18505668144,0.0,Hold,11585.54110867315,16345.48805655514
2026-06-06,65914.02315167246,0.0,Hold,11404.362455881259,16089.871726032985
2026-06-07,64469.04768445492,-0.34,Sell,11154.354594426863,15737.147543785813
2026-06-08,64170.2557695025,0.0,Hold,11154.354594426863,15664.211264759153
2026-06-09,63597.04862097802,-0.34,Sell,11154.354594426863,15524.28915029526
2026-06-10,64296.84690194293,0.0,Hold,11154.354594426863,15695.1126569854
2026-06-11,62497.60457251506,-0.04005000000000003,Hold,11154.354594426863,15255.910543378583
2026-06-12,62426.79716074234,-0.34,Sell,11154.354594426863,15238.62617628641
2026-06-13,62946.79114028941,0.1779,Hold,11154.354594426863,15365.558747371771
2026-06-14,63889.5389237053,0.0,Hold,11154.354594426863,15595.687181047553
2026-06-15,60005.370971805416,0.0,Hold,11154.354594426863,14647.546540858886
2026-06-16,60537.47802879623,0.33525,Buy,11154.354594426863,14777.43596168514
2026-06-17,60291.87652779157,0.0,Hold,11109.101202307913,14717.483671444974
2026-06-18,60421.41159145243,-0.34,Sell,11132.968731639041,14749.103688835368
2026-06-19,62668.91412751385,-0.3753,Sell,11132.968731639041,15297.727878045469
2026-06-20,58985.32034611643,-0.7506,Sell,11132.968731639041,14398.548180014952
2026-06-21,58573.54395993742,-0.17,Hold,11132.968731639041,14298.03194816268
2026-06-22,58680.056928366925,-0.34,Sell,11132.968731639041,14324.032181758588
2026-06-23,58460.095111422626,-0.08105000000000001,Hold,11132.968731639041,14270.3386390186
2026-06-24,59153.21438228689,0.31245,Buy,11132.968731639041,14439.531773131892
2026-06-25,60555.393128415846,-0.3753,Sell,11396.866683759406,14781.809107808773
2026-06-26,61758.41795787203,-0.34,Sell,11396.866683759406,15075.47218986101
2026-06-27,64316.78009139785,0.1779,Hold,11396.866683759406,15699.978426757674
2026-06-28,64920.14877578938,-0.17,Hold,11396.866683759406,15847.26309049343
2026-06-29,70331.89616860886,-0.34,Sell,11396.866683759406,17168.291867083128
2026-06-30,71029.66424735765,0.1779,Hold,11396.866683759406,17338.619793444937
2026-07-01,71086.09641465952,0.0,Hold,11396.866683759406,17352.39510694719
2026-07-02,73107.95069236359,0.0,Hold,11396.866683759406,17845.93767075236
2026-07-03,72215.01931900994,0.33525,Buy,11396.866683759406,17627.969618273586
2026-07-04,70800.48064021852,-0.3753,Sell,11173.626298404235,17282.675175528155
2026-07-05,70899.44657532802,0.6705,Buy,11173.626298404235,17306.83314867288
2026-07-06,67637.55310885825,0.0,Hold,10659.557707180244,16510.592152447905
2026-07-07,68400.46739813496,0.0,Hold,10779.791638160701,16696.822524461062
